,url,index,course_id,review_platform,title,provider,school,published_time,effort_hours(perWeek).,level,price,enrollment_type,course_length,subject,area,value_lead,value_lead.log,value_lead.norm,between,bet_rank,trans,trans_rank,mix_rank,mix_rank.norm,title
942,https://www.class-central.com/mooc/706/coursera-competitive-strategy,4840,classCentral-1509,classCentral,Competitive Strategy,Coursera,Ludwig-Maximilians-Universit?t M?nchen,1,3,NA,49,FREE audit/Pay for certificate,6,Business Strategy,Business,20.0000001,3.044522442,0.003024903,0.005639579,976,0.387907245,775,1751,0.946428571,Competitive Strategy
35,https://www.class-central.com/mooc/1264/coursera-introduction-to-forensic-science,6037,classCentral-2706,classCentral,Introduction to Forensic Science,Coursera,Nanyang Technological University,1,4.5,NA,49,FREE audit/Pay for certificate,8,Biology,Life Sciences,5.0000001,1.791759486,0.000756301,0.005634488,975,0.509876177,691,1666,0.9004329,Introduction to Forensic Science
363,https://www.class-central.com/mooc/2912/edx-dubliners-by-joyce-berkeleyx-book-club,4599,classCentral-1268,classCentral,"""Dubliners"" by Joyce: BerkeleyX Book Club",edX,"University of California, Berkeley",3,3,Introductory,NA,FREE audit/Pay for certificate,4,Humanities,Arts and Humanities,5.0000001,1.791759486,0.000756301,0.005622744,974,0.521683977,680,1654,0.893939394,"""Dubliners"" by Joyce: BerkeleyX Book Club"
564,https://www.class-central.com/mooc/388/coursera-computing-for-data-analysis,6127,classCentral-2796,classCentral,Computing for Data Analysis,Coursera,Johns Hopkins University,0,4,NA,NA,NA,4,Data Analysis,Data Science,14.0000001,2.708050208,0.002117462,0.00559426,973,0.496507899,705,1678,0.906926407,Computing for Data Analysis
562,https://www.class-central.com/mooc/386/coursera-data-analysis,6121,classCentral-2790,classCentral,Data Analysis,Coursera,Johns Hopkins University,NA,4,NA,NA,NA,8,Data Analysis & Statistics,Data Science,1.00E-07,1.00E-07,1.00E-07,0.005556679,972,0.699531715,534,1506,0.813852814,Data Analysis
261,https://www.class-central.com/mooc/2460/coursera-successful-negotiation-essential-strategies-and-skills,4766,classCentral-1435,classCentral,Successful Negotiation: Essential Strategies and Skills,Coursera,University of Michigan,2,2.5,NA,49,FREE audit/Pay for certificate,7,Business Essentials,Business,15.0000001,2.772588728,0.002268703,0.005542393,971,0.352453208,791,1762,0.952380952,Successful Negotiation: Essential Strategies and Skills
961,https://www.class-central.com/mooc/769/coursera-introduction-to-financial-accounting,4885,classCentral-1554,classCentral,Introduction to Financial Accounting,Coursera,University of Pennsylvania,1,5.5,NA,79,FREE audit/Pay for certificate,4,Business Essentials,Business,45.0000001,3.828641399,0.006805908,0.005464874,970,0.301542843,806,1776,0.95995671,Introduction to Financial Accounting
915,https://www.class-central.com/mooc/646/coursera-statistics-making-sense-of-data,6084,classCentral-2753,classCentral,Statistics: Making Sense of Data,Coursera,University of Toronto,NA,7,NA,NA,NA,47,Data Analysis & Statistics,Data Science,5.0000001,1.791759486,0.000756301,0.005457108,969,0.572799528,634,1603,0.866341991,Statistics: Making Sense of Data
614,https://www.class-central.com/mooc/4164/coursera-introduction-to-big-data,5873,classCentral-2542,classCentral,Introduction to Big Data,Coursera,"University of California, San Diego",3,5.5,NA,49,FREE audit/Pay for certificate,3,Data Analysis,Data Science,26.0000001,3.29583687,0.003932344,0.005455746,968,0.496839932,704,1672,0.903679654,Introduction to Big Data
683,https://www.class-central.com/mooc/429/coursera-creative-serious-and-playful-science-of-android-apps,6240,classCentral-2909,classCentral,"Creative, Serious and Playful Science of Android Apps",Coursera,University of Illinois at Urbana-Champaign,1,7.5,NA,NA,NA,8,Software Development,Computer Science,4.0000001,1.609437932,0.000605061,0.005432167,967,0.520028396,682,1649,0.891233766,"Creative, Serious and Playful Science of Android Apps"
