course_id,review_platform,title,school,area,subject,provider,price,level,course_length,effort_hours,published_time,time,session_open,review count,review rating,indegree,outdegree,degree,eigenvector,transitivity,constraint,closeness,betweenness,performace (t),performance (t+1),low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,url
CourseTalk-83,CourseTalk,Our Energetic Earth,University of Toronto,Physical Science and Engineering,Energy & Earth Sciences,edX,1,Introductory,6,2.5,1,1,TRUE,2,4.5,1,1,2,0.000114051,3.05E-05,1.000069323,0.002532147,0,9,10,0,0,1,0,392.5,34601
CourseTalk-83,CourseTalk,Our Energetic Earth,University of Toronto,Physical Science and Engineering,Energy & Earth Sciences,edX,1,Introductory,6,2.5,1,2,FALSE,2,5,0,0,0,1.36E-05,0,0,1.06E-17,0,10,0,0,0,1,0,525.5,34601
CourseTalk-86,CourseTalk,English Grammar and Style,University of Queensland,Language Learning,Humanities,edX,52,Introductory,8,4,2,2,TRUE,3,4.666666667,1,0,1,4.68E-05,0,1.000147128,7.21E-05,0,14,199,0,0,1,0.666666667,238.3333333,83120
CourseTalk-86,CourseTalk,English Grammar and Style,University of Queensland,Language Learning,Humanities,edX,52,Introductory,8,4,2,3,TRUE,52,3.826923077,0,0,0,4.93E-06,0,0,0,0,199,91.5,0.173076923,0.153846154,0.673076923,0.173076923,304.5576923,83120
CourseTalk-86,CourseTalk,English Grammar and Style,University of Queensland,Language Learning,Humanities,edX,52,Introductory,8,4,2,4,TRUE,21,4.357142857,0,0,0,1.16E-05,0,0,4.92E-17,0,91.5,NA,0.095238095,0.095238095,0.80952381,0,317.1428571,83120
CourseTalk-90,CourseTalk,AP¢ç Biology - Part 1: The Cell,Rice University,Life Sciences,Biology & Life Sciences,edX,30,Introductory,6,3,2,2,TRUE,2,4,0,0,0,1.36E-05,0,0,1.06E-17,0,8,5,0,0.5,0.5,0,0,28699
CourseTalk-93,CourseTalk,Microsoft Professional Orientation : Data Science,Microsoft,Data Science,Data Analysis & Statistics,edX,52,Introductory,6,3,3,4,TRUE,52,4.115384615,3,3,6,1.87E-05,0.066741422,0.855157625,0.925289446,0,214,NA,0.076923077,0.096153846,0.826923077,0.153846154,304.3076923,69277
CourseTalk-97,CourseTalk,Supply Chain Design,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,7,Advanced,13,10,3,3,TRUE,22,4.454545455,0,0,0,4.93E-06,0,0,0,0,98,23,0.045454545,0.045454545,0.909090909,0.409090909,411.2727273,78606
CourseTalk-97,CourseTalk,Supply Chain Design,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,7,Advanced,13,10,3,4,TRUE,5,4.6,0,0,0,1.16E-05,0,0,4.92E-17,0,23,NA,0,0,1,0,808.2,78606
CourseTalk-99,CourseTalk,Mechanics ReView,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,1,Introductory,15,8,0,3,FALSE,2,5,2,2,4,1.53E-05,4.93E-05,0.500039419,0,2027.916667,10,0,0,0,1,0,330.5,14103
CourseTalk-103,CourseTalk,"Discrete Time Signals and Systems, Part 1: Time Domain",Rice University,Physical Science and Engineering,Engineering,edX,1,Advanced,5,8,1,2,TRUE,3,4.5,1,1,2,4.80E-05,2.70E-05,0.500147128,8.77E-06,762.9878066,13.5,0,0,0,1,0,1173,41388
CourseTalk-104,CourseTalk,ISSCC Previews: Circuit and System Insights,IEEE,Physical Science and Engineering,Electronics,edX,1,Introductory,13,0.5,2,3,TRUE,1,5,2,2,4,1.53E-05,4.93E-05,0.500039419,0,773.75,5,0,0,0,1,0,660,32030
CourseTalk-105,CourseTalk,Making Government Work in Hard Places,Princeton University,Social Sciences,Social Sciences,edX,1,Advanced,9,4,3,3,TRUE,5,4.6,2,2,4,1.50E-05,4.93E-05,0.500039419,1.49E-17,4485,23,0,0,0.2,0.8,0.8,225.4,48812
CourseTalk-107,CourseTalk,"From Goddard to Apollo: The History of Rockets, Part 1",IEEE,Arts and Humanities,History,edX,1,Introductory,4,1,NA,3,NA,7,4.071428571,1,1,2,1.53E-05,4.93E-05,0.500039419,0,5696.25,28.5,0,0.285714286,0,0.714285714,0,474.8571429,49998
CourseTalk-108,CourseTalk,First Nights: Monteverdi¡¯s L¡¯Orfeo and the Birth of Opera,Harvard University,Arts and Humanities,Music,edX,16,Introductory,3,2.5,3,4,FALSE,1,5,2,1,3,1.86E-05,7.48E-05,0.555774909,6.45E-17,36,5,NA,0,0,1,0,424,68042
CourseTalk-110,CourseTalk,Urban Water - Innovations for Environmental Sustainability,The University of British Columbia,Physical Science and Engineering,Environmental Studies,edX,33,Introductory,6,3.5,2,3,FALSE,1,5,0,0,0,4.93E-06,0,0,0,0,5,0,0,0,1,0,584,25641
CourseTalk-112,CourseTalk,Think. Create. Code,University of Adelaide,Computer Science,Computer Science,edX,33,Introductory,6,2.5,2,3,TRUE,3,4.333333333,1,1,2,1.50E-05,4.93E-05,0.500039419,0,4592,13,0,0,0.333333333,0.666666667,0,250.3333333,69964
CourseTalk-114,CourseTalk,Teaching With Technology and Inquiry: An Open Course For Teachers,University of Toronto,Social Sciences,Education & Teacher Training,edX,33,Intermediate,6,4,3,2,FALSE,1,4,0,0,0,1.36E-05,0,0,1.06E-17,0,4,4,0,0,1,0,22,45457
CourseTalk-115,CourseTalk,Combinatorial Mathematics | ?ùê??,Tsinghua University,Math and Logic,Math,edX,30,Introductory,12,5,NA,3,NA,1,5,0,0,0,4.93E-06,0,0,0,0,5,4.5,0,0,1,1,251,26688
CourseTalk-117,CourseTalk,Organic Electronic Devices,Purdue University,Physical Science and Engineering,Electronics,edX,14,Intermediate,7,6,2,4,FALSE,1,5,0,1,1,1.16E-05,0,1.000219353,4.92E-17,0,5,NA,0,0,1,0,394,29733
CourseTalk-126,CourseTalk,Modeling Climate Change,The University of Chicago,Physical Science and Engineering,Environmental Studies,edX,33,Intermediate,8,4,2,3,FALSE,1,4,2,2,4,1.53E-05,4.93E-05,0.500039419,0,1032.75,4,0,0,0,1,0,370,28970
CourseTalk-127,CourseTalk,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,Massachusetts Institute of Technology,Life Sciences,Biology & Life Sciences,edX,NA,Intermediate,6,4,3,3,TRUE,7,4.785714286,2,2,4,1.53E-05,4.93E-05,0.500039419,0,716.2,33.5,4.5,0,0.142857143,0.857142857,0,305.1428571,45467
